claim_id,page_path,claim_text,claim_type,risk_level,materiality,priority,source_requirement,proposed_source_type,source_reference,source_owner,verification_status,verification_method,last_verified,next_review_date,evidence_notes
"CLAIM-home-001","/","Real operational problems identified by mission owners","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-002","/","Founders and operators matched at The Combine","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-003","/","Our national security demands better technology, faster.","opinion","low","high","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-004","/","Operators face accelerating threats. Founders struggle to access real problems. Traditional acquisition moves slowly, trapped by legacy overhead and siloed processes.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-005","/","Innovation must happen next to the mission — not behind a desk.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-006","/","Merge creates a new model: A rapid, informed, operator-driven cycle where real problems translate into real prototypes and real deployments.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-007","/","One week, in person. Funded and emerging teams get real validation from operators and mission owners close to the requirement.","factual","medium","low","P1","required","owner-attestation","","content-ops","needs-source","","","",""
"CLAIM-home-008","/","Pressure-test solution fit in days, not months","factual","high","low","P0","required","public-evidence+owner-attestation","Internal program operations attestation (Combine track record metrics) + dated delivery logs required to substantiate ""days, not months"" phrasing","content-ops","needs-ops-proof","ops-metrics-audit","","","High-risk speed claim: keep in rewrite queue unless cycle-time dataset is published."
"CLAIM-home-009","/","Leave with decisions, next steps, and champions","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-010","/","We co-found and build ventures born from validated problem sets—backed by operators, technical builders, and deployment partners.","aspirational","high","low","P1","optional","positioning-review","","content","needs-editorial-review","","","",""
"CLAIM-home-011","/","The platform where builders and mission owners execute: briefs, problems, champions, and access paths to pilots.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
