id,page_path,source_file,selector_hint,line,claim_text,claim_type,materiality,risk_level,source_status,source_reference,status,owner,last_reviewed,review_interval_days,evidence_notes
"CLAIM-home-001","/","index.html","p.platform__panel-body:nth(4)","255","The digital platform connecting founders, SMEs, and operators. Run pilots, solve technical problems, and deploy fast.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-002","/","index.html","p.pipeline-stage__desc:nth(5)","317","Real operational problems identified by mission owners","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-003","/","index.html","p.pipeline-stage__desc:nth(6)","336","Founders and operators matched at The Combine","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-004","/","index.html","h2.why-merge__title:nth(1)","407","Our national security demands better technology, faster.","unclassified","high","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-005","/","index.html","p:nth(9)","409","Operators face accelerating threats. Founders struggle to access real problems. Traditional acquisition moves slowly, trapped by legacy overhead and siloed processes.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-006","/","index.html","p.why-merge__emphasis:nth(10)","410","Innovation must happen next to the mission — not behind a desk.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-007","/","index.html","p:nth(11)","411","Merge creates a new model: A rapid, informed, operator-driven cycle where real problems translate into real prototypes and real deployments.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-008","/","index.html","p.bento-card__body:nth(12)","468","One week, in person. Funded and emerging teams get real validation from operators and mission owners close to the requirement.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-009","/","index.html","li:nth(11)","473","Pressure-test solution fit with direct operator feedback","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-010","/","index.html","li:nth(12)","474","Leave with decisions, next steps, and champions","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-011","/","index.html","p.bento-card__body:nth(13)","490","We co-found and build ventures born from validated problem sets—backed by operators, technical builders, and deployment partners.","unclassified","low","high","unsourced","","open","content-ops","","30",""
"CLAIM-home-012","/","index.html","p.bento-card__body:nth(14)","512","The platform where builders and mission owners execute: briefs, problems, champions, and access paths to pilots.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-013","/","index.html","li:nth(16)","516","Problem sets, champions, and builders in one workflow","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-014","/","index.html","li:nth(17)","517","Briefs (de-attributed) to reduce information overload","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-015","/","index.html","li:nth(18)","518","Guild listings for vetted teams (private beta)","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-016","/","index.html","p.capability-card__desc:nth(16)","565","Deep regional expertise and established operator relationships.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-017","/","index.html","p.capability-card__desc:nth(17)","573","Weeks to deployment, not months or years.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-018","/","index.html","p.capability-card__desc:nth(18)","581","Direct insights from mission owners and operators.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-019","/","index.html","p.capability-card__desc:nth(19)","589","Navigate commercial and defense markets seamlessly.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-020","/","index.html","p.capability-card__desc:nth(20)","597","Every venture starts with real, operator-validated needs.","unclassified","low","high","unsourced","","open","content-ops","","30",""
"CLAIM-home-021","/","index.html","p:nth(22)","649","For the government market, I have never seen this level of interactivity with incoming systems entrepreneurs. I absolutely believe this format delivered significant value to the warfighter beyond what we normally see.","unclassified","low","low","unsourced","","open","content-ops","","30",""
