claim_id,page_path,claim_text,claim_type,risk_level,materiality,priority,source_requirement,proposed_source_type,source_reference,source_owner,verification_status,verification_method,last_verified,next_review_date,evidence_notes
"CLAIM-home-001","/","The digital platform connecting founders, SMEs, and operators. Run pilots, solve technical problems, and deploy fast.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-002","/","Real operational problems identified by mission owners","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-003","/","Founders and operators matched at The Combine","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-004","/","Our national security demands better technology, faster.","opinion","low","high","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-005","/","Operators face accelerating threats. Founders struggle to access real problems. Traditional acquisition moves slowly, trapped by legacy overhead and siloed processes.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-006","/","Innovation must happen next to the mission — not behind a desk.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-007","/","Merge creates a new model: A rapid, informed, operator-driven cycle where real problems translate into real prototypes and real deployments.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-008","/","One week, in person. Funded and emerging teams get real validation from operators and mission owners close to the requirement.","factual","medium","low","P1","required","owner-attestation","Program format attestation: The Combine operates as a one-week, in-person cohort. Cohort 01 (Tulsa) and Finalists Round (Honolulu) both ran this format.","content-ops","attested","program-format-attestation","2026-03-01","2026-06-01","Attested from Combine operating history. Format is a core program design decision documented in combine.html."
"CLAIM-home-009","/","Pressure-test solution fit with direct operator feedback","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-010","/","Leave with decisions, next steps, and champions","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-011","/","We co-found and build ventures born from validated problem sets—backed by operators, technical builders, and deployment partners.","aspirational","high","low","P1","optional","positioning-review","","content","needs-editorial-review","","","",""
"CLAIM-home-012","/","The platform where builders and mission owners execute: briefs, problems, champions, and access paths to pilots.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-013","/","Problem sets, champions, and builders in one workflow","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-014","/","Briefs (de-attributed) to reduce information overload","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-015","/","Guild listings for vetted teams (private beta)","factual","low","low","P1","required","owner-attestation","Guild SPA deployed at guild.mergecombinator.com (REQ-BUG-014). Private beta: authenticated access only via VIA OIDC. Company listings from Supabase database.","content-ops","attested","live-page","2026-03-01","2026-06-01","Guild SPA live. Access requires VIA authentication. Private beta status accurate."
"CLAIM-home-016","/","Deep regional expertise and established operator relationships.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-017","/","Compressed timelines from validation to deployment decision.","factual","low","low","P1","required","owner-attestation","SOFTENED from 'Weeks to deployment, not months or years.' Rewritten 2026-03-01 to remove unsupported quantification. New copy describes process attribute without specific timeline promise.","content-ops","attested","copy-revision","2026-03-01","2026-06-01","Original claim de-risked. No specific timeline quantification remains. Process description is attestable."
"CLAIM-home-018","/","Direct insights from mission owners and operators.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-019","/","Navigate commercial and defense markets seamlessly.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
