id,page_path,source_file,selector_hint,line,claim_text,claim_type,materiality,risk_level,source_status,source_reference,status,owner,last_reviewed,review_interval_days,evidence_notes
"CLAIM-home-001","/","index.html","p.platform__panel-body:nth(4)","255","The digital platform connecting founders, SMEs, and operators. Run pilots, solve technical problems, and deploy fast.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-002","/","index.html","p.pipeline-stage__desc:nth(5)","317","Real operational problems identified by mission owners","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-003","/","index.html","p.pipeline-stage__desc:nth(6)","336","Founders and operators matched at The Combine","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-004","/","index.html","h2.why-merge__title:nth(1)","407","Our national security demands better technology, faster.","opinion","high","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-005","/","index.html","p:nth(9)","409","Operators face accelerating threats. Founders struggle to access real problems. Traditional acquisition moves slowly, trapped by legacy overhead and siloed processes.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-006","/","index.html","p.why-merge__emphasis:nth(10)","410","Innovation must happen next to the mission — not behind a desk.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-007","/","index.html","p:nth(11)","411","Merge creates a new model: A rapid, informed, operator-driven cycle where real problems translate into real prototypes and real deployments.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-008","/","index.html","p.bento-card__body:nth(12)","468","One week, in person. Funded and emerging teams get real validation from operators and mission owners close to the requirement.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-home-009","/","index.html","li:nth(11)","473","Pressure-test solution fit with direct operator feedback","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-010","/","index.html","li:nth(12)","474","Leave with decisions, next steps, and champions","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-011","/","index.html","p.bento-card__body:nth(13)","490","We co-found and build ventures born from validated problem sets—backed by operators, technical builders, and deployment partners.","aspirational","low","high","unsourced","","open","content-ops","","30","auto_classification=aspirational; confidence=0.7; rationale=contains intent/capability language"
"CLAIM-home-012","/","index.html","p.bento-card__body:nth(14)","512","The platform where builders and mission owners execute: briefs, problems, champions, and access paths to pilots.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-013","/","index.html","li:nth(16)","516","Problem sets, champions, and builders in one workflow","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-014","/","index.html","li:nth(17)","517","Briefs (de-attributed) to reduce information overload","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-015","/","index.html","li:nth(18)","518","Guild listings for vetted teams (private beta)","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-home-016","/","index.html","p.capability-card__desc:nth(16)","565","Deep regional expertise and established operator relationships.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-017","/","index.html","p.capability-card__desc:nth(17)","573","Weeks to deployment, not months or years.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=heuristic fallback"
"CLAIM-home-018","/","index.html","p.capability-card__desc:nth(18)","581","Direct insights from mission owners and operators.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-019","/","index.html","p.capability-card__desc:nth(19)","589","Navigate commercial and defense markets seamlessly.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-020","/","index.html","p.capability-card__desc:nth(20)","597","Every venture starts with real, operator-validated needs.","opinion","low","high","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-021","/","index.html","p:nth(22)","649","For the government market, I have never seen this level of interactivity with incoming systems entrepreneurs. I absolutely believe this format delivered significant value to the warfighter beyond what we normally see.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=heuristic fallback"
"CLAIM-home-022","/","index.html","p:nth(23)","663","This is what happens when you get entrepreneurs in one room, hungry for contracts and sick of bureaucracy.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-023","/","index.html","p:nth(24)","677","SigmaBlox prepared us to pitch in crucible and xTech igniter environments. I hope to be competing against each of you.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-024","/","index.html","p.engage-card__body:nth(25)","704","Validate problems, join the Combine, or explore venture formation with Merge Studio.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-025","/","index.html","p.engage-card__body:nth(26)","723","Post problems, run pilots, or request support through Defense Builders.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-026","/","index.html","p.engage-card__body:nth(27)","741","Access dual-use teams, de-risk prototypes, or support venture spinouts.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-027","/","index.html","p.final-cta__subtitle:nth(28)","774","Join Merge Combinator and become part of the next wave of national security innovation.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-028","/","index.html","p.hero__subtitle.reveal:nth(1)","88","Merge Combinator is the builder-led venture studio for national security. If you're building for the Indo-Pacific mission, build with us.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=contains concrete/timebound detail; contains intent/capability language"
"CLAIM-home-029","/","index.html","h3.platform__panel-title:nth(1)","161","The Combine: Validating Critical Problems and Solutions","opinion","medium","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-030","/","index.html","p.platform__panel-body:nth(2)","162","Where founders, operators, and mission owners solve real problems and form teams. The best week in defense tech for early-stage founders.","opinion","low","high","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-031","/","index.html","li:nth(1)","167","Validate operational problems with domain experts","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-032","/","index.html","p.platform__panel-body:nth(3)","213","We co-found ventures in demand by mission owners. Backed by operators, SME, and builders committed to the mission.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=heuristic fallback"
"CLAIM-home-033","/","index.html","li:nth(6)","225","Develop and deploy direct to the mission","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-001","/access","access.html","p.access-hero__subtitle:nth(1)","55","Your gateway to the defense tech community. This is not an application to an incubator—it's access to a members-only portal where you can connect, learn, and find opportunities.","opinion","low","high","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-002","/access","access.html","p.access-request__subtitle:nth(2)","146","New here? Tell us who you are and what you're interested in.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-003","/access","access.html","p.access-request__success-text:nth(3)","182","We'll review your request and get back to you shortly.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=heuristic fallback"
"CLAIM-access-004","/access","access.html","p.access-request__error-text:nth(4)","189","Please try again or email access@mergecombinator.com .","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-005","/access","access.html","p.access-form-section__footer-text:nth(5)","195","Questions? Learn more about Merge Combinator","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-programs-the-combine-001","/programs/the-combine","programs/the-combine.html","h2.content-section__title:nth(5)","270","Ready to validate with real operators?","opinion","high","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-programs-the-combine-002","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(9)","271","If you have funded technology solving Indo-Pacific problems, The Combine is the fastest path to operator validation and deployment.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-003","/programs/the-combine","programs/the-combine.html","p.sp-cta-panel__meta:nth(10)","280","One week · In person · Selection-based","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-004","/programs/the-combine","programs/the-combine.html","p.subpage-hero__subtitle:nth(1)","51","Designed to validate funded and emerging technology with operators and mission owners close to the requirement.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-005","/programs/the-combine","programs/the-combine.html","p.subpage-hero__body:nth(2)","54","We match funded defense tech to champion problem owners. One week, in person, with structured operator feedback and clear next steps.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.85; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-006","/programs/the-combine","programs/the-combine.html","h2.content-section__title:nth(1)","112","One Week. Operator Feedback. Clear Next Steps.","factual","high","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-007","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(5)","113","The Combine compresses months of discovery into five days of focused validation with the people who own the problem.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=heuristic fallback"
"CLAIM-programs-the-combine-008","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(6)","148","The Combine is for teams with real technology and real traction. Leave your slide deck at home.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-programs-the-combine-009","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(1)","154","Funded or revenue-backed teams with a working product","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-010","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(2)","160","Emerging tech aligned to Indo-Pacific problem sets","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-011","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(3)","166","Founders and builders ready to commit to one week, in person.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-012","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(4)","172","Teams ready for direct, unfiltered operator feedback","aspirational","low","low","unsourced","","open","content-ops","","30","auto_classification=aspirational; confidence=0.85; rationale=contains intent/capability language"
"CLAIM-programs-the-combine-013","/programs/the-combine","programs/the-combine.html","p.sp-checklist__note:nth(7)","179","Not funded or ready yet? Join Defense Builders to meet fellow builders and validate problems with end users.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-014","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(8)","214","Every team leaves with clear signal — validation, introductions, and a defined next step.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
