id,page_path,source_file,selector_hint,line,claim_text,claim_type,materiality,risk_level,source_status,source_reference,status,owner,last_reviewed,review_interval_days,evidence_notes
"CLAIM-home-001","/","index.html","p.pipeline-stage__desc:nth(5)","300","Real operational problems identified by mission owners","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-002","/","index.html","p.pipeline-stage__desc:nth(6)","319","Founders and operators matched at The Combine","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-003","/","index.html","h2.why-merge__title:nth(1)","390","Our national security demands better technology, faster.","opinion","high","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-004","/","index.html","p:nth(9)","392","Operators face accelerating threats. Founders struggle to access real problems. Traditional acquisition moves slowly, trapped by legacy overhead and siloed processes.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-005","/","index.html","p.why-merge__emphasis:nth(10)","393","Innovation must happen next to the mission — not behind a desk.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-006","/","index.html","p:nth(11)","394","Merge creates a new model: A rapid, informed, operator-driven cycle where real problems translate into real prototypes and real deployments.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
"CLAIM-home-007","/","index.html","p.bento-card__body:nth(12)","451","One week, in person. Funded and emerging teams get real validation from operators and mission owners close to the requirement.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-home-008","/","index.html","li:nth(11)","456","Pressure-test solution fit in days, not months","factual","low","high","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=heuristic fallback"
"CLAIM-home-009","/","index.html","li:nth(12)","457","Leave with decisions, next steps, and champions","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-010","/","index.html","p.bento-card__body:nth(13)","473","We co-found and build ventures born from validated problem sets—backed by operators, technical builders, and deployment partners.","aspirational","low","high","unsourced","","open","content-ops","","30","auto_classification=aspirational; confidence=0.7; rationale=contains intent/capability language"
"CLAIM-home-011","/","index.html","p.bento-card__body:nth(14)","495","The platform where builders and mission owners execute: briefs, problems, champions, and access paths to pilots.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-012","/","index.html","li:nth(16)","499","Problem sets, champions, and builders in one workflow","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-013","/","index.html","li:nth(17)","500","Briefs (de-attributed) to reduce information overload","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-014","/","index.html","li:nth(18)","501","Guild listings for vetted teams (private beta)","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-home-015","/","index.html","p.capability-card__desc:nth(15)","540","Built for classified and sensitive environments from day one.","factual","low","high","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-home-016","/","index.html","p.capability-card__desc:nth(16)","548","Deep regional expertise and established operator relationships.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-017","/","index.html","p.capability-card__desc:nth(17)","556","Weeks to deployment, not months or years.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=heuristic fallback"
"CLAIM-home-018","/","index.html","p.capability-card__desc:nth(18)","564","Direct insights from mission owners and operators.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-019","/","index.html","p.capability-card__desc:nth(19)","572","Navigate commercial and defense markets seamlessly.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.95; rationale=contains normative/value language"
